perturbation,param,group,EER,EER_threshold,ZeroFMR_FMR,ZeroFMR_FNMR,ZeroFMR_threshold,FMR100_FMR,FMR100_FNMR,FMR100_threshold,FMR1000_FMR,FMR1000_FNMR,FMR1000_threshold
S&P,p=0,overall,0.05449999999999999,0.3601016402244568,0.0,0.5327500000000001,0.5556145906448364,0.01,0.1356666666666667,0.42089518904685974,0.001,0.3159166666666666,0.4944778382778168
S&P,p=0,African,0.06966666666666667,0.3601016402244568,0.0,0.5083333333333333,0.5556145906448364,0.023333333333333334,0.10733333333333334,0.42089518904685974,0.0026666666666666666,0.2906666666666667,0.4944778382778168
S&P,p=0,Asian,0.057166666666666664,0.3601016402244568,0.0,0.569,0.5556145906448364,0.008333333333333333,0.16766666666666666,0.42089518904685974,0.0013333333333333333,0.362,0.4944778382778168
S&P,p=0,Caucasian,0.03816666666666667,0.3601016402244568,0.0,0.5336666666666666,0.5556145906448364,0.003,0.142,0.42089518904685974,0.0,0.321,0.4944778382778168
S&P,p=0,Indian,0.053,0.3601016402244568,0.0,0.52,0.5556145906448364,0.005333333333333333,0.12566666666666668,0.42089518904685974,0.0,0.29,0.4944778382778168
S&P,p=0.03,overall,0.13604166666666667,0.34944087266921997,0.0,0.8370833333333334,0.6115539073944092,0.01,0.43625,0.47714513540267944,0.001,0.6993333333333334,0.5578952431678772
S&P,p=0.03,African,0.1865,0.34944087266921997,0.0,0.817,0.6115539073944092,0.023333333333333334,0.36466666666666664,0.47714513540267944,0.003,0.6533333333333333,0.5578952431678772
S&P,p=0.03,Asian,0.133,0.34944087266921997,0.0,0.8523333333333334,0.6115539073944092,0.006333333333333333,0.5196666666666667,0.47714513540267944,0.0006666666666666666,0.7386666666666667,0.5578952431678772
S&P,p=0.03,Caucasian,0.11433333333333334,0.34944087266921997,0.0,0.838,0.6115539073944092,0.005666666666666667,0.42133333333333334,0.47714513540267944,0.0003333333333333333,0.6993333333333334,0.5578952431678772
S&P,p=0.03,Indian,0.11033333333333334,0.34944087266921997,0.0,0.841,0.6115539073944092,0.004666666666666667,0.43933333333333335,0.47714513540267944,0.0,0.706,0.5578952431678772
S&P,p=0.06,overall,0.20233333333333337,0.33129632472991943,0.0,0.9435,0.6388013362884521,0.01,0.6475833333333334,0.4992903172969818,0.001,0.84325,0.5761544704437256
S&P,p=0.06,African,0.2713333333333333,0.33129632472991943,0.0,0.943,0.6388013362884521,0.028,0.578,0.4992903172969818,0.003,0.819,0.5761544704437256
S&P,p=0.06,Asian,0.20166666666666666,0.33129632472991943,0.0,0.9476666666666667,0.6388013362884521,0.004333333333333333,0.7213333333333334,0.4992903172969818,0.0,0.872,0.5761544704437256
S&P,p=0.06,Caucasian,0.17166666666666666,0.33129632472991943,0.0,0.9426666666666667,0.6388013362884521,0.004666666666666667,0.6566666666666666,0.4992903172969818,0.001,0.8463333333333334,0.5761544704437256
S&P,p=0.06,Indian,0.16466666666666668,0.33129632472991943,0.0,0.9406666666666667,0.6388013362884521,0.003,0.6343333333333333,0.4992903172969818,0.0,0.8356666666666667,0.5761544704437256
S&P,p=0.09,overall,0.24691666666666667,0.3116002082824707,0.0,0.9834166666666667,0.6631342172622681,0.01,0.7731666666666667,0.5100239515304565,0.001,0.9116666666666666,0.5808964967727661
S&P,p=0.09,African,0.3273333333333333,0.3116002082824707,0.0,0.9836666666666667,0.6631342172622681,0.028333333333333332,0.7156666666666667,0.5100239515304565,0.0033333333333333335,0.899,0.5808964967727661
S&P,p=0.09,Asian,0.23683333333333334,0.3116002082824707,0.0,0.9853333333333333,0.6631342172622681,0.0036666666666666666,0.8183333333333334,0.5100239515304565,0.0003333333333333333,0.9243333333333333,0.5808964967727661
S&P,p=0.09,Caucasian,0.21650000000000003,0.3116002082824707,0.0,0.983,0.6631342172622681,0.005666666666666667,0.7983333333333333,0.5100239515304565,0.0003333333333333333,0.9233333333333333,0.5808964967727661
S&P,p=0.09,Indian,0.20700000000000002,0.3116002082824707,0.0,0.9816666666666667,0.6631342172622681,0.0023333333333333335,0.7603333333333333,0.5100239515304565,0.0,0.9,0.5808964967727661
S&P,p=0.12,overall,0.2831666666666667,0.29593437910079956,0.0,0.9924166666666666,0.6690933108329773,0.01,0.83375,0.5095474123954773,0.001,0.9721666666666666,0.6170766353607178
S&P,p=0.12,African,0.37,0.29593437910079956,0.0,0.991,0.6690933108329773,0.03,0.7906666666666666,0.5095474123954773,0.0036666666666666666,0.9666666666666667,0.6170766353607178
S&P,p=0.12,Asian,0.26766666666666666,0.29593437910079956,0.0,0.9933333333333333,0.6690933108329773,0.0033333333333333335,0.8696666666666667,0.5095474123954773,0.0,0.9766666666666667,0.6170766353607178
